Crime_ID,Crime_Type,Location,Latitude,Longitude,Date,Time,Severity,Police_Station
1,Kidnapping,Puliakulam,11.107852,77.002237,2024-01-08,11:01,5,Puliakulam PS
2,Illegal Gambling,Vadavalli,11.103138,76.909154,2022-09-25,14:12,1,Vadavalli PS
3,Burglary,Veerakeralam,11.089428,76.94442,2022-08-20,11:46,2,Veerakeralam PS
4,Drug Abuse,Pothanur,10.95138,77.056897,2023-06-04,21:45,2,Pothanur PS
5,Sexual Harassment,Madukkarai,10.946699,76.865337,2022-05-15,04:14,4,Madukkarai PS
6,Pickpocketing,Singanallur,11.028509,76.897461,2023-01-26,19:44,5,Singanallur PS
7,Vandalism,Townhall,10.997769,77.05854,2023-09-26,07:28,3,Townhall PS
8,Murder,Pollachi,10.960071,76.920762,2022-05-29,21:15,1,Pollachi PS
9,Illegal Gambling,Idikarai East,11.008863,77.030716,2022-08-14,07:10,5,Idikarai East PS
10,Drug Abuse,Kuniamuthur,10.98462,77.078046,2023-12-05,23:34,5,Kuniamuthur PS
11,Illegal Gambling,Singanallur East,10.998666,76.97298,2022-08-12,13:14,2,Singanallur East PS
12,Chain Snatching,Vilankurichi,11.002778,76.911193,2023-06-16,08:00,5,Vilankurichi PS
13,Sexual Harassment,Saibaba Colony,11.060564,76.942108,2024-02-08,20:45,2,Saibaba Colony PS
14,Trespassing,Vadavalli East,11.033088,76.880324,2022-09-24,22:12,1,Vadavalli East PS
15,Kidnapping,Thennampalayam,10.943454,76.973745,2023-06-03,02:15,3,Thennampalayam PS
16,Arson,Saibaba Colony,10.943605,77.001259,2022-05-24,13:25,4,Saibaba Colony PS
17,Assault,Kalveerampalayam,11.020487,76.913846,2023-03-10,10:00,5,Kalveerampalayam PS
18,Murder,Townhall,11.052582,76.886895,2023-09-06,04:58,5,Townhall PS
19,Murder,Thudiyalur,11.079565,76.981635,2023-01-27,02:35,3,Thudiyalur PS
20,Arson,Othakalmandapam,11.024227,77.050463,2022-07-02,06:59,4,Othakalmandapam PS
21,Bribery,Sundarapuram,11.0425,77.038927,2023-07-20,22:13,3,Sundarapuram PS
22,Traffic Violation,Kalveerampalayam,11.09941,77.013781,2022-07-28,22:36,1,Kalveerampalayam PS
23,Theft,Vadavalli,11.066786,76.980629,2023-03-25,18:24,1,Vadavalli PS
24,Murder,Sowdambika Nagar,10.990398,76.852429,2022-06-29,14:42,2,Sowdambika Nagar PS
25,Bribery,Pappampatti,11.037742,77.012714,2024-03-04,09:13,5,Pappampatti PS
26,Drug Abuse,Sitra,11.013147,76.956067,2022-04-08,10:39,2,Sitra PS
27,Bribery,Idigarai,10.905421,76.901168,2022-02-03,19:27,3,Idigarai PS
28,Chain Snatching,Sundakkamuthur,10.950622,76.96235,2023-08-21,11:57,4,Sundakkamuthur PS
29,Robbery,Vadavalli East,10.954658,76.985627,2022-10-22,10:03,1,Vadavalli East PS
30,Assault,Vilankurichi,11.10838,76.911663,2023-08-03,01:44,3,Vilankurichi PS
31,Vandalism,Ondiputhur,11.145505,76.851088,2024-02-12,20:59,3,Ondiputhur PS
32,Arson,Sowdambika Nagar,11.086488,76.921355,2023-09-13,15:26,5,Sowdambika Nagar PS
33,Domestic Violence,Ganapathy,11.115746,76.906873,2023-04-10,21:28,5,Ganapathy PS
34,Pickpocketing,Sitra,11.017759,76.873529,2023-12-18,03:16,2,Sitra PS
35,Illegal Gambling,Vadavalli East,10.960455,76.882122,2024-03-07,03:31,5,Vadavalli East PS
36,Pickpocketing,Townhall,11.061327,76.905447,2023-01-02,19:31,1,Townhall PS
37,Drug Abuse,Thennampalayam,11.128157,76.949969,2023-11-22,19:55,3,Thennampalayam PS
38,Murder,Vadavalli,11.088136,77.009916,2023-03-05,00:08,5,Vadavalli PS
39,Burglary,Keeranatham,11.050661,77.06599,2022-02-10,20:14,2,Keeranatham PS
40,Forgery,Kalveerampalayam,11.13639,77.048849,2022-06-08,19:09,5,Kalveerampalayam PS
41,Vandalism,Thennampalayam,10.955842,76.906736,2022-09-22,03:39,3,Thennampalayam PS
42,Sexual Harassment,Race Course,10.993006,77.093864,2022-07-10,09:22,1,Race Course PS
43,Drug Abuse,Kalapatti,10.936096,77.005693,2023-08-30,08:02,1,Kalapatti PS
44,Sexual Harassment,Singanallur,10.912628,76.924937,2022-07-10,09:37,4,Singanallur PS
45,Pickpocketing,Podanur,10.902433,76.892055,2022-08-16,09:52,5,Podanur PS
46,Sexual Harassment,Velandipalayam,11.148678,77.00479,2022-07-11,04:43,5,Velandipalayam PS
47,Vandalism,Ganapathy,10.998185,76.924637,2022-03-21,23:37,1,Ganapathy PS
48,Illegal Gambling,Kavundampalayam South,10.93671,76.924134,2023-01-29,12:25,5,Kavundampalayam South PS
49,Trespassing,Thudiyalur,11.102159,76.963953,2022-12-26,13:30,4,Thudiyalur PS
50,Cyber Crime,Kalveerampalayam,10.962599,77.053301,2023-03-01,13:33,5,Kalveerampalayam PS
51,Illegal Gambling,Kalveerampalayam,11.107636,76.879758,2023-07-24,21:26,5,Kalveerampalayam PS
52,Assault,Peelamedu Pudur,11.103365,76.927464,2023-01-31,14:24,1,Peelamedu Pudur PS
53,Burglary,Kovilpalayam,11.149787,77.026863,2023-10-24,14:55,2,Kovilpalayam PS
54,Trespassing,Nehru Nagar,11.134211,77.071316,2023-02-11,23:59,5,Nehru Nagar PS
55,Cyber Crime,Ondipudur,11.047247,76.971114,2022-08-13,03:08,3,Ondipudur PS
56,Burglary,Singanallur East,10.942347,77.044647,2023-04-20,04:48,5,Singanallur East PS
57,Cyber Crime,Kovaipudur,10.954188,77.06224,2022-08-18,06:15,1,Kovaipudur PS
58,Sexual Harassment,Podanur,11.015934,76.998002,2023-05-07,07:13,2,Podanur PS
59,Kidnapping,Ondiputhur,11.020693,76.914094,2023-06-21,06:28,5,Ondiputhur PS
60,Pickpocketing,Kavundampalayam,11.013323,76.958934,2022-01-10,02:52,1,Kavundampalayam PS
61,Murder,Singanallur,11.026784,76.906056,2022-09-22,09:12,2,Singanallur PS
62,Vandalism,Thennampalayam,11.080593,76.901118,2022-05-16,03:43,3,Thennampalayam PS
63,Assault,Perur,11.125347,77.036955,2024-02-05,09:02,3,Perur PS
64,Drug Abuse,RS Puram,11.046769,76.987561,2023-06-04,04:22,2,RS Puram PS
65,Murder,Madukkarai,11.146431,76.872045,2023-07-18,17:38,1,Madukkarai PS
66,Bribery,Sowripalayam,11.090891,77.047102,2022-10-08,14:15,4,Sowripalayam PS
67,Sexual Harassment,Karamadai,10.953153,76.99942,2023-02-14,06:28,4,Karamadai PS
68,Fraud,Singanallur,11.004822,76.865478,2023-05-11,22:33,2,Singanallur PS
69,Murder,Kovaipudur,11.139922,76.968741,2022-08-07,15:26,3,Kovaipudur PS
70,Burglary,Velandipalayam,10.971553,76.94786,2023-11-29,01:25,3,Velandipalayam PS
71,Burglary,Vadavalli East,11.025926,77.047909,2024-02-13,20:51,1,Vadavalli East PS
72,Traffic Violation,Chinniampalayam,11.110303,76.993494,2022-08-06,19:27,2,Chinniampalayam PS
73,Drug Abuse,Sitra,11.054187,76.895618,2023-04-08,10:32,3,Sitra PS
74,Pickpocketing,Periyanaickenpalayam,10.967639,77.081714,2022-12-14,15:45,3,Periyanaickenpalayam PS
75,Assault,Kavundampalayam,11.012651,77.039546,2022-05-09,21:56,2,Kavundampalayam PS
76,Assault,Keeranatham,11.135594,76.877361,2023-12-16,06:57,4,Keeranatham PS
77,Illegal Gambling,Podanur,11.085755,76.93158,2023-08-25,19:51,5,Podanur PS
78,Chain Snatching,Vadavalli,11.002808,77.099701,2023-07-07,17:20,2,Vadavalli PS
79,Illegal Gambling,Sitra,10.96655,77.020214,2022-04-15,14:00,3,Sitra PS
80,Sexual Harassment,Sundarapuram,11.130976,77.022213,2023-10-21,07:28,4,Sundarapuram PS
81,Kidnapping,Singanallur,10.940822,76.878574,2022-11-23,02:02,4,Singanallur PS
82,Forgery,Sulur,10.958639,76.875759,2023-08-18,02:54,4,Sulur PS
83,Domestic Violence,Kalapatti,11.092118,76.893228,2022-06-14,13:04,1,Kalapatti PS
84,Fraud,Velandipalayam,10.925093,77.098056,2023-12-10,13:52,4,Velandipalayam PS
85,Trespassing,Sowdambika Nagar,11.015465,76.994016,2023-06-04,12:57,2,Sowdambika Nagar PS
86,Robbery,Saravanampatti North,11.124587,76.862164,2024-02-04,19:38,1,Saravanampatti North PS
87,Murder,Singanallur,11.143742,76.920207,2024-03-06,00:31,2,Singanallur PS
88,Traffic Violation,Somanur,10.997574,76.893256,2022-06-18,00:01,1,Somanur PS
89,Sexual Harassment,Thudiyalur,11.078391,76.98303,2024-02-24,13:34,3,Thudiyalur PS
90,Kidnapping,Pappampatti,10.988792,76.973896,2022-06-28,16:48,1,Pappampatti PS
91,Cyber Crime,Thondamuthur,10.985412,76.944909,2022-05-21,07:14,4,Thondamuthur PS
92,Theft,Mettupalayam,11.065117,76.875465,2022-04-14,18:57,4,Mettupalayam PS
93,Vandalism,Malumichampatti,11.072186,76.901002,2023-08-15,11:09,4,Malumichampatti PS
94,Assault,Malumichampatti,10.900172,76.946644,2022-08-06,04:41,3,Malumichampatti PS
95,Chain Snatching,Somanur,11.021237,76.937882,2023-09-22,04:01,4,Somanur PS
96,Burglary,Nehru Nagar,11.108469,76.975773,2022-03-30,21:54,2,Nehru Nagar PS
97,Kidnapping,Thennampalayam,11.135584,76.89071,2022-12-21,20:22,5,Thennampalayam PS
98,Sexual Harassment,Karamadai,11.141539,76.893538,2024-01-27,12:30,3,Karamadai PS
99,Chain Snatching,Kunniyamuthur,10.913751,76.986091,2023-11-12,01:40,4,Kunniyamuthur PS
100,Murder,Gandhipuram,10.913881,76.930862,2022-05-04,07:44,2,Gandhipuram PS
101,Murder,Puliakulam,11.014888,77.038788,2023-08-15,15:46,1,Puliakulam PS
102,Murder,Saibaba Colony,10.937633,76.867229,2022-12-17,21:15,2,Saibaba Colony PS
103,Fraud,Kavundampalayam South,11.064936,76.917438,2022-08-18,19:14,5,Kavundampalayam South PS
104,Drug Abuse,Pollachi,11.033194,77.063079,2022-10-19,09:33,4,Pollachi PS
105,Assault,Velandipalayam,11.034772,77.012104,2024-01-09,17:21,4,Velandipalayam PS
106,Drug Abuse,Velandipalayam,10.998608,77.003315,2022-12-28,14:39,2,Velandipalayam PS
107,Kidnapping,Kunniyamuthur,10.972553,77.006463,2023-04-12,18:43,4,Kunniyamuthur PS
108,Trespassing,Karumathampatti,10.974425,76.862061,2022-10-31,23:04,1,Karumathampatti PS
